ID,Weight
OFF_FR_282,516
SkuPDT00459,209
SkuPDT232580,98
SkuOFF_FR_9534,73
SkuOFF_FR_438,194
SkuPDT546580,145
SkuOFF_FR_464,82
SkuOFF_FR_15051,219
SkuOFF_FR_0855,71
OFF_FR_1676,424
PDT00968,145
OFF_FR_157,343
PDT00343,241
C1520,1024
C151031,332
PDT01329,199
PDT01229,270
OFF_FR_15083,218
OFF_FR_15081,231
PDT01261,313
OFF_FR_2044,124
OFF_FR_1879,244
OFF_FR_352,295
PDT12601,297
PDT00261,170
SkuPDT02506,89
C212230,399
C1350,415
SkuPDT01310,111
PDT115580,166
PDT25575,239
PDT01627,266
SkuPDT01504,68
SkuOFF_FR_229,107
C117010,325
PDT02006,235
SkuOFF_FR_9911,87
C202850,274
C173840,228
C215040,182
C215050,176
SkuPDT01456,86
SkuPDT01272,216
PDT361580,346
OFF_FR_1555,297
OFF_FR_1814,171
PDT182582,247
OFF_FR_1422,390
PDT00210,301
SkuPDT02225,71
SkuPDT00277,212
SkuPDT254587,88
C202860,97
PDT01294,221
PDT02330,269
OFF_FR_15026,183
PDT255581,220
OFF_FR_1973,165
PDT00187,264
PDT01225,273
ViewCostCenterStart,340
PDT00331,314
SkuOFF_FR_040,97
C221313,186
OFF_FR_1009,97
SkuPDT400580,111
C197050,93
PDT02127,280
PDT00544,143
SkuOFF_FR_0882,83
OFF_FR_185,181
OFF_FR_433,180
OFF_FR_155,162
SkuPDT00341,77
SkuPDT02239,216
C227014,181
SkuOFF_FR_9813,71
SkuPDT09594,149
SkuOFF_FR_1749,90
OFF_FR_1983,139
PDT00461,242
PDT01537,206
C980213,215
PDT398588,332
ViewCustomProductHistoryStart,328
OFF_FR_1594,198
C192050,763
SkuPDT00340,88
SkuOFF_FR_9983,60
SkuPDT00491,184
C196010,197
SkuOFF_FR_0683,74
SkuPDT01470,75
SkuOFF_FR_1248,82
SkuOFF_FR_1986,109
PDT02320,323
C141010,459
C2240,532
OFF_FR_1883,312
PDT530580,142
C151035,308
PDT00231,333
C145530,237
C221311,128
SkuOFF_FR_9879,63
SkuPDT00384,67
C1870,334
SkuPDT00322,184
SkuPDT02127,154
PDT00421,170
PDT345587,180
OFF_FR_1459,191
C221215,181
C121360,298
PDT507581,301
SkuPDT176586,172
C1360,481
OFF_FR_1502,108
C114015,572
PDT00291,353
PDT01511,193
OFF_FR_127,208
OFF_FR_506,191
/mafactureelectronique,134
C154010,71
PDT263583,198
C231513,87
PDT27577,102
PDT00229,217
PDT12608,315
C1776,273
PDT00685,197
C193010,417
C151033,334
C152030,289
SkuPDT02273,60
SkuPDT00583,59
OFF_FR_0905,174
OFF_FR_15101,190
SkuOFF_FR_10096,56
SkuPDT01370,107
SkuPDT345610,84
PDT01186,220
C1185,574
OFF_FR_0774,196
PDT02534,127
OFF_FR_1718,139
OFF_FR_0782,131
OFF_FR_1556,94
OFF_FR_0724,78
PDT02131,229
C151545,170
OFF_FR_405,167
C1560,303
cms_000009,173
OFF_FR_15086,220
OFF_FR_15035,128
PDT01481,139
PDT01450,222
OFF_FR_1572,238
OFF_FR_1979,289
SkuPDT00427,67
PDT00189,153
PDT531588,164
OFF_FR_15084,203
PDT00283,162
PDT00255,229
OFF_FR_1496,125
OFF_FR_122,295
PDT00868,160
PDT01390,231
PDT01400,197
C112010,527
SkuOFF_FR_15060,76
SkuOFF_FR_9741,74
SkuOFF_FR_1883,102
SkuOFF_FR_1857,57
ViewCheckoutPaymentDispatch,192
SkuOFF_FR_1836,55
PDT01567,205
PDT00710,290
PDT499589,231
C171010,229
C212210,274
PDT00209,489
